date,decision,cumulative_savings_usd
2025-12-18,FIX NOW,298500.0
2025-12-19,FIX NOW,298500.0
2025-12-22,FIX NOW,298500.0
2025-12-23,FIX NOW,298500.0
2025-12-24,FIX NOW,298500.0
2025-12-26,FIX NOW,298500.0
2025-12-29,FIX NOW,298500.0
2025-12-30,FIX NOW,298500.0
2025-12-31,FIX NOW,298500.0
2026-01-02,FIX NOW,298500.0
2026-01-05,FIX NOW,298500.0
2026-01-06,FIX NOW,298500.0
2026-01-07,FIX NOW,298500.0
2026-01-08,HOLD,189750.0
2026-01-09,FIX NOW,189750.0
2026-01-12,FIX NOW,189750.0
2026-01-13,FIX NOW,189750.0
2026-01-14,HOLD,132000.0
2026-01-15,HOLD,78750.0
2026-01-16,HOLD,23250.0
2026-01-20,HOLD,-21750.0
2026-01-21,FIX NOW,-21750.0
2026-01-22,FIX NOW,-21750.0
2026-01-23,FIX NOW,-21750.0
2026-01-26,FIX NOW,-21750.0
2026-01-27,FIX NOW,-21750.0
2026-01-28,FIX NOW,-21750.0
2026-01-29,FIX NOW,-21750.0
2026-01-30,FIX NOW,-21750.0
2026-02-02,FIX NOW,-21750.0
2026-02-03,FIX NOW,-21750.0
2026-02-04,FIX NOW,-21750.0
2026-02-05,FIX NOW,-21750.0
2026-02-06,FIX NOW,-21750.0
2026-02-09,FIX NOW,-21750.0
2026-02-10,FIX NOW,-21750.0
2026-02-11,FIX NOW,-21750.0
2026-02-12,FIX NOW,-21750.0
2026-02-13,FIX NOW,-21750.0
2026-02-17,FIX NOW,-21750.0
2026-02-18,FIX NOW,-21750.0
2026-02-19,FIX NOW,-21750.0
2026-02-20,FIX NOW,-21750.0
2026-02-23,FIX NOW,-21750.0
2026-02-24,FIX NOW,-21750.0
2026-02-25,FIX NOW,-21750.0
2026-02-26,FIX NOW,-21750.0
2026-02-27,FIX NOW,-21750.0
2026-03-02,FIX NOW,-21750.0
2026-03-03,FIX NOW,-21750.0
2026-03-04,FIX NOW,-21750.0
2026-03-05,FIX NOW,-21750.0
2026-03-06,FIX NOW,-21750.0
2026-03-09,FIX NOW,-21750.0
2026-03-10,FIX NOW,-21750.0
2026-03-11,FIX NOW,-21750.0
2026-03-12,FIX NOW,-21750.0
2026-03-13,FIX NOW,-21750.0
2026-03-16,FIX NOW,-21750.0
2026-03-17,FIX NOW,-21750.0
2026-03-18,HOLD,33000.0
2026-03-19,FIX NOW,33000.0
2026-03-20,HOLD,45000.0
2026-03-23,FIX NOW,45000.0
2026-03-24,FIX NOW,45000.0
2026-03-25,FIX NOW,45000.0
2026-03-26,FIX NOW,45000.0
2026-03-27,HOLD,61500.0
2026-03-30,HOLD,67500.0
2026-03-31,HOLD,80250.0
2026-04-01,FIX NOW,80250.0
2026-04-02,HOLD,78750.0
2026-04-06,HOLD,40499.99999999988
2026-04-07,HOLD,-1.1641532182693481e-10
2026-04-08,FIX NOW,-1.1641532182693481e-10
2026-04-09,FIX NOW,-1.1641532182693481e-10
2026-04-10,FIX NOW,-1.1641532182693481e-10
2026-04-13,HOLD,-78000.00000000012
2026-04-14,HOLD,-156750.0
2026-04-15,HOLD,-202499.99999999988
2026-04-16,HOLD,-236999.99999999988
2026-04-17,HOLD,-297749.9999999999
2026-04-20,HOLD,-372749.9999999999
2026-04-21,HOLD,-469499.9999999999
2026-04-22,HOLD,-545999.9999999998
2026-04-23,HOLD,-600749.9999999998
2026-04-24,HOLD,-689249.9999999998
2026-04-27,HOLD,-754499.9999999997
2026-04-28,HOLD,-793499.9999999997
2026-04-29,HOLD,-755249.9999999997
2026-04-30,HOLD,-739499.9999999997
2026-05-01,HOLD,-753749.9999999997
2026-05-04,HOLD,-735749.9999999997
2026-05-05,HOLD,-702749.9999999997
2026-05-06,HOLD,-709499.9999999997
2026-05-07,HOLD,-707999.9999999997
2026-05-08,HOLD,-715499.9999999997
2026-05-11,HOLD,-695999.9999999997
2026-05-12,HOLD,-638249.9999999995
2026-05-13,HOLD,-578249.9999999995
2026-05-14,HOLD,-524249.99999999953
2026-05-15,HOLD,-443999.99999999953
