combo_id,num_features,added_candidates,val_mae,val_rmse,val_mape
45,14,bunker_to_freight_ratio+freight_roll_std_30+freight_spread_to_ma14+sin_month,2.4139110360603677,2.7499693002942442,24.832754774024895
12,12,bunker_to_freight_ratio+sin_month,2.420763272679799,2.7481789829926497,24.931091213165978
41,13,freight_spread_to_ma14+coal_price+sin_month,2.421989824971055,2.7521431088477746,24.936205101353252
57,14,freight_spread_to_ma14+bunker_price+coal_price+sin_month,2.4292776356268173,2.751627067485332,25.036900082942324
56,14,freight_roll_std_30+bunker_price+coal_price+sin_month,2.4352674772170513,2.7628811216476024,25.08548440443003
54,14,freight_roll_std_30+freight_spread_to_ma14+bunker_price+sin_month,2.4355368397015313,2.76409968894573,25.08522200035918
47,14,bunker_to_freight_ratio+freight_roll_std_30+bunker_price+sin_month,2.442814578389739,2.7724555812081615,25.160472674966293
60,15,bunker_to_freight_ratio+freight_roll_std_30+freight_spread_to_ma14+coal_price+sin_month,2.4467896176366533,2.787101301869984,25.171677595410458
51,14,bunker_to_freight_ratio+freight_spread_to_ma14+coal_price+sin_month,2.446910197989557,2.7766581919052804,25.20390015245931
59,15,bunker_to_freight_ratio+freight_roll_std_30+freight_spread_to_ma14+bunker_price+sin_month,2.4480134929679305,2.7782139922891034,25.214356369623303
63,15,freight_roll_std_30+freight_spread_to_ma14+bunker_price+coal_price+sin_month,2.4484603635023316,2.7775285474915843,25.221922336895002
55,14,freight_roll_std_30+freight_spread_to_ma14+coal_price+sin_month,2.4513178791789234,2.7976931242465244,25.203574124444188
50,14,bunker_to_freight_ratio+freight_spread_to_ma14+bunker_price+sin_month,2.458009480473456,2.7817632097695375,25.340845589630117
38,13,freight_roll_std_30+coal_price+sin_month,2.458079356482017,2.8001166310243217,25.28774649677379
40,13,freight_spread_to_ma14+bunker_price+sin_month,2.4611029407685328,2.777305013878776,25.397273230858673
29,13,bunker_to_freight_ratio+freight_spread_to_ma14+sin_month,2.4615965770524553,2.7882385106490895,25.36990946431012
37,13,freight_roll_std_30+bunker_price+sin_month,2.46609222021025,2.7910842920945513,25.423525133880393
61,15,bunker_to_freight_ratio+freight_roll_std_30+bunker_price+coal_price+sin_month,2.4698079450677173,2.8006982226359765,25.445774013370688
35,13,freight_roll_std_30+freight_spread_to_ma14+sin_month,2.4745538060134833,2.823744443580484,25.44384181069862
52,14,bunker_to_freight_ratio+bunker_price+coal_price+sin_month,2.482064502821812,2.8085683947591282,25.59028128321872
26,13,bunker_to_freight_ratio+freight_roll_std_30+sin_month,2.4838140961219763,2.823269531262143,25.56967957346781
64,16,bunker_to_freight_ratio+freight_roll_std_30+freight_spread_to_ma14+bunker_price+coal_price+sin_month,2.4877275853924865,2.8168090479910464,25.64295424145912
48,14,bunker_to_freight_ratio+freight_roll_std_30+coal_price+sin_month,2.489142982600091,2.831980426490432,25.617557409514223
32,13,bunker_to_freight_ratio+coal_price+sin_month,2.4968185471455673,2.831209831553016,25.7243025283494
31,13,bunker_to_freight_ratio+bunker_price+sin_month,2.4980740920734665,2.821264526543786,25.772678629628675
62,15,bunker_to_freight_ratio+freight_spread_to_ma14+bunker_price+coal_price+sin_month,2.5070924111873576,2.834070914629757,25.857307842434903
42,13,bunker_price+coal_price+sin_month,2.51293850323188,2.8398811585778767,25.920019146094685
